character_name,species,num_episodes,nn_avg_rating,total_votes,series,popularity_score
Harris,Human,4,7.25,70,ENT,0.5
Kelby,Human,4,7.12,75,ENT,0.5
José Tyler,Human,3,6.98,175,TOS,0.5
Harral,Orion,2,5.69,3034,DIS,0.5
Jabara,Bajoran,4,6.68,102,DS9,0.5
Garison,Human,3,6.98,175,TOS,0.5
Pitcairn,Human,3,6.98,175,TOS,0.5
C. Black,Human,4,7.15,78,ENT,0.5
Maat Al-Salah,Human,1,8.36,6000,SNW,0.5
Dara,Theela's species,2,6.57,1037,"TNG, TAS",0.5
Patient 8923/3,Nameless,3,6.86,163,PIC,0.49
Swenson,Human,3,7.26,127,TOS,0.49
"Toral, son of Duras",Klingon,3,7.59,102,"TNG, DS9",0.49
Dennas,Klingon,3,6.86,177,DIS,0.49
Emmet,Unknown,3,7.02,150,PIC,0.49
Rukiya,Human,3,6.76,178,SNW,0.49
Shukar,Andorian,3,7.01,137,DIS,0.48
Gorch,Tellarite,3,7.01,137,DIS,0.48
Tula,Unknown,1,7.97,6000,TOS,0.48
Ramdha,Romulan,3,6.92,155,PIC,0.48
Marplon,Unknown,1,7.97,6000,TOS,0.48
Lindstrom,Human,1,7.97,6000,TOS,0.48
Sonya Gomez,Human,3,7.48,106,"LD, TNG",0.48
Alice,Human,2,6.41,911,"TAS, TOS",0.48
"Winger Bingston, Jr.",Human,4,7.18,64,LD,0.48
Reger,Unknown,1,7.97,6000,TOS,0.48
Hacom,Unknown,1,7.97,6000,TOS,0.48
White Rabbit,Unknown,2,6.41,911,"TAS, TOS",0.48
Jet Manhaver,Human,4,7.13,60,LD,0.47
Mot,Bolian,3,7.2,111,TNG,0.47
Matt Decker,Human,1,7.94,5000,TOS,0.47
David Garrovick,Human,2,7.08,422,"PRO, TOS",0.47
Madeline,Human,3,6.87,126,TNG,0.46
Eli,Human,3,6.86,125,"TOS, DIS",0.46
K'Ehleyr,Klingon,3,7.03,111,TNG,0.46
J.P. Hanson,Human,2,8.61,122,TNG,0.45
Marie Kaplan,Human,3,7.41,75,VOY,0.44
Jack R. Crusher,Human,3,6.63,113,TNG,0.44
Straal,Human,1,7.13,7000,DIS,0.44
Kowski,Human,1,7.13,7000,DIS,0.44
Psycho,Human,1,7.13,7000,DIS,0.44
Jaya,Tilonian,3,7.27,75,"ENT, TNG",0.44
Carmichael,Human,1,7.59,4000,TNG,0.44
Kang,Klingon,3,7.04,87,"DS9, TOS, VOY",0.44
Jae Hwang,Human,2,8.18,130,PIC,0.44
Apollinaire,Human,1,7.59,4000,TNG,0.44
Cold,Human,1,7.13,7000,DIS,0.44
Freeman,Human,3,6.74,115,TOS,0.44
Hanor Pren,Trill,1,7.76,3000,DS9,0.43
Jaro Essa,Bajoran,3,7.06,78,DS9,0.43
Li Nalas,Bajoran,3,7.06,78,DS9,0.43
Bejal Otner,Trill,1,7.76,3000,DS9,0.43
Teresa Ross,Human,1,7.27,5000,TOS,0.43
Parker,Human,2,8.2,123,"SNW, TNG",0.43
Elizabeth Tucker,Human,3,7.43,61,ENT,0.43
Kimara Cretak,Romulan,3,7.27,68,DS9,0.43
Koss,Vulcan,3,7.45,62,ENT,0.43
Lewis Zimmerman,Human,3,7.31,72,"DS9, VOY",0.43
Kieran MacDuff,Unknown,1,7.46,4000,TNG,0.43
Boothby,Human,3,7.07,83,"VOY, TNG",0.43
Kristin,Human,1,7.46,4000,TNG,0.43
Lenara Kahn,Trill,1,7.76,3000,DS9,0.43
The Traveler,The Traveler's species,3,6.51,117,TNG,0.43
Carl Jaeger,Human,1,7.27,5000,TOS,0.43
Trelane,Unknown,1,7.27,5000,TOS,0.43
Gral,Tellarite,3,7.32,63,"ENT, DS9",0.42
Valdore,Romulan,3,7.63,54,ENT,0.42
Gareb,Aenar,3,7.63,54,ENT,0.42
Jay Gordon Graas,Human,1,7.33,4000,TNG,0.42
V'Las,Vulcan,3,7.52,55,ENT,0.42
Andrew Powell,Human,2,7.75,132,TNG,0.42
Lon Suder,Betazoid,3,7.18,68,VOY,0.42
Nijil,Romulan,3,7.63,54,ENT,0.42
Patahk,Romulan,1,7.26,4000,TNG,0.42
Monroe,Human,1,7.33,4000,TNG,0.42
Jack,Human,3,7.07,73,"ENT, DS9",0.42
Paterson Supra,Human,1,7.33,4000,TNG,0.42
Marissa Flores,Human,1,7.33,4000,TNG,0.42
Bochra,Romulan,1,7.26,4000,TNG,0.42
Costa,Human,1,7.08,4000,TNG,0.41
Sirna Kolrami,Zakdorn,1,7.16,4000,TNG,0.41
Gaunt Gary,Human,3,6.94,73,VOY,0.41
Titus Rikka,Unknown,2,7.98,105,PIC,0.41
Rance,Betarian,1,6.8,6000,DIS,0.41
Kivas Fajo,Zibalian,1,7.06,4000,TNG,0.41
Koloth,Klingon,3,6.87,75,"DS9, TAS, TOS",0.41
Kopf,Human,1,7.12,4000,TNG,0.41
Jeremy Lucas,Human,3,7.25,60,ENT,0.41
Hernandez,Human,3,7.18,60,ENT,0.41
W. Willis,Human,3,7.44,54,ENT,0.41
Allenby,Human,3,6.37,102,TNG,0.41
Jean-Luc Riker,Unknown,1,7.14,4000,TNG,0.41
Jasad,Cardassian,1,7.02,5000,DS9,0.41
Varria,Unknown,1,7.06,4000,TNG,0.41
Shakaar Edon,Bajoran,3,7.0,68,DS9,0.41
Palor Toff,Unknown,1,7.06,4000,TNG,0.41
Ethan,Unknown,1,7.14,4000,TNG,0.41
Lurak T'Luco,Romulan,2,7.88,107,PIC,0.41
Taris,Romulan,1,7.08,4000,TNG,0.41
Bractor,Ferengi,1,7.16,4000,TNG,0.41
Barash,Unknown,1,7.14,4000,TNG,0.41
Enrique Muniz,Human,3,6.99,71,DS9,0.41
Min Riker,Human,1,7.14,4000,TNG,0.41
Nagel,Human,1,7.16,4000,TNG,0.41
Myers,Human,1,7.08,4000,TNG,0.41
Strickler,Human,3,6.87,73,VOY,0.41
Doran,Human,1,7.02,5000,DS9,0.41
Duffy,Human,1,7.08,4000,TNG,0.41
Donald Varley,Human,1,7.08,4000,TNG,0.41
Willie Potts,Human,1,7.12,4000,TNG,0.41
Jake Potts,Human,1,7.12,4000,TNG,0.41
Lars Lundy,Human,3,7.5,47,LD,0.4
Arik Soong,Human,3,7.12,55,ENT,0.4
Tosk,Unknown,1,7.13,3000,DS9,0.4
Persis,Human,3,7.12,55,ENT,0.4
Galek Sar,Promellian,1,6.96,4000,TNG,0.4
Paul Rice,Human,2,7.46,138,TNG,0.4
Malik,Human,3,7.12,55,ENT,0.4
Ryn,Andorian,3,6.21,108,DIS,0.4
Riggs,Human,2,7.84,98,PIC,0.4
Sarda,Unknown,1,7.13,3000,DS9,0.4
James Morrow,Human,3,6.97,61,VOY,0.4
B. Cotton,Human,3,7.15,55,ENT,0.4
Saul,Human,3,7.12,55,ENT,0.4
Revok,Cardassian,1,7.45,2000,DS9,0.39
Boratus,Vorgon,1,6.79,4000,TNG,0.39
T'Shanik,Vulcan,1,6.73,4000,TNG,0.39
Ajur,Vorgon,1,6.79,4000,TNG,0.39
Fisher,Human,2,7.13,137,TOS,0.39
Telev,Andorian,1,7.38,2000,ENT,0.39
Brenner,Human,1,6.56,5000,TOS,0.39
Sovak,Ferengi,1,6.79,4000,TNG,0.39
Rionoj,Boslic,3,7.1,51,DS9,0.39
Lonar,Cardassian,1,7.45,2000,DS9,0.39
Siral,Unknown,1,7.35,2000,VOY,0.39
Four of Twelve,Unknown,1,7.35,2000,VOY,0.39
Bodan,Bajoran,1,7.45,2000,DS9,0.39
Mordock,Benzite,1,6.73,4000,TNG,0.39
Muroc,Vulcan,1,7.38,2000,ENT,0.39
Manu Noonien-Singh,Human,2,7.61,107,SNW,0.39
Chang,Human,1,6.73,4000,TNG,0.39
Rondon,Zaldan,1,6.73,4000,TNG,0.39
Tarah,Andorian,1,7.38,2000,ENT,0.39
Oliana Mirren,Human,1,6.73,4000,TNG,0.39
Joval,Risian,1,6.79,4000,TNG,0.39
Stiles,Human,1,6.56,5000,TOS,0.39
Hilliard,Human,1,7.45,2000,DS9,0.39
Number One,Unknown,2,7.33,133,PIC,0.39
Jake Kurland,Human,1,6.73,4000,TNG,0.39
Weldon,Human,1,7.45,2000,DS9,0.39
N. Kemper,Human,3,6.57,72,"DIS, ENT",0.39
Caler,Xahean,2,7.09,145,PIC,0.39
Ira Graves,Human,1,6.56,4000,TNG,0.38
Tajor,Cardassian,2,7.85,85,TNG,0.38
Kelowitz,Human,2,7.46,96,TOS,0.38
Selar,Vulcan,1,6.56,4000,TNG,0.38
Corak,Cardassian,2,7.85,85,TNG,0.38
Robin Lefler,Human,2,7.49,96,TNG,0.38
Loquar,Overlooker,1,7.16,2000,VOY,0.38
Kareen Brianon,Human,1,6.56,4000,TNG,0.38
Or'Eq,Klingon,2,7.04,137,DIS,0.38
Valen,Annari,1,7.16,2000,VOY,0.38
Arne Darvin,Klingon,2,7.76,83,"TOS, DS9",0.38
Umali,Unknown,1,7.16,2000,VOY,0.38
Eling,Unknown,2,7.49,100,DIS,0.38
Garon,Nygean,1,7.16,2000,VOY,0.38
Bosaal,Unknown,1,7.16,2000,VOY,0.38
Furel,Bajoran,3,6.58,65,DS9,0.38
Lemec,Cardassian,2,7.85,85,TNG,0.38
Fantome,Fantome's species,1,7.16,2000,VOY,0.38
Xi,Trill,3,5.88,106,DIS,0.38
Brett Anderson,Human,2,6.85,158,DIS,0.38
Madred,Cardassian,2,7.85,85,TNG,0.38
Yuris,Vulcan,1,6.99,2000,ENT,0.37
Kyheem,Kwejian,3,5.72,112,DIS,0.37
Strom,Vulcan,1,6.99,2000,ENT,0.37
Amanda Manes,Human,1,6.44,4000,PIC,0.37
Torin,Klingon,1,6.73,3000,TNG,0.37
Sito Jaxa,Bajoran,2,7.58,83,TNG,0.37
Reese Fisher,Human,1,6.44,4000,PIC,0.37
Lawrence Strode,Human,1,6.95,2000,ENT,0.37
Weiss,Human,1,6.98,2000,VOY,0.37
Alex Davis,Human,1,6.44,4000,PIC,0.37
J.M. Colt,Human,2,7.04,126,TOS,0.37
Georgia Tandy,Human,1,6.95,2000,ENT,0.37
Divok,Klingon,1,6.73,3000,TNG,0.37
Bandee,Human,1,6.99,2000,DS9,0.37
Iden,Bajoran,1,6.98,2000,VOY,0.37
Feezal Phlox,Denobulan,1,6.99,2000,ENT,0.37
Harvey,Unknown,2,7.27,96,PIC,0.37
K'Tal,Klingon,2,7.75,76,TNG,0.37
Jessica Sloan,Human,1,6.99,2000,DS9,0.37
Danar,Cardassian,1,6.66,3000,DS9,0.37
K'mpec,Klingon,2,7.67,83,TNG,0.37
Donik,Hirogen,1,6.98,2000,VOY,0.37
Koroth,Klingon,1,6.73,3000,TNG,0.37
Maddox,Unknown,2,7.36,99,DIS,0.37
Maya Orlando,Human,1,6.44,4000,PIC,0.37
Lee Dashel,Human,1,6.44,4000,PIC,0.37
Leto,Kwejian,3,5.72,112,DIS,0.37
Tahna Los,Bajoran,1,6.66,3000,DS9,0.37
Oratt,Vulcan,1,6.99,2000,ENT,0.37
DePaul,Human,2,7.31,95,TOS,0.37
Kejal,Cardassian,1,6.98,2000,VOY,0.37
Haden,Human,2,7.58,87,TNG,0.37
Siranna,Kelpien,2,7.35,94,DIS,0.37
Loomis,Human,1,6.95,2000,ENT,0.37
River Campos,Human,1,6.44,4000,PIC,0.37
Movar,Romulan,2,7.75,76,TNG,0.37
Tarent,Romulan,2,7.35,99,PIC,0.37
Berkley,Human,2,7.22,110,TOS,0.37
Taylor,Human,3,7.19,41,"LD, ENT",0.37
Boris Karloff,Human,1,6.99,2000,ENT,0.37
Gennaro,Unknown,1,6.84,2000,VOY,0.36
Narra,Suliban,1,6.79,2000,ENT,0.36
Klev,Tandaran,1,6.79,2000,ENT,0.36
Grat,Tandaran,1,6.79,2000,ENT,0.36
Clancy,Human,2,7.22,90,TNG,0.36
Sajen,Suliban,1,6.79,2000,ENT,0.36
Michael Torres,Human,1,6.79,2000,VOY,0.36
Sam,Human,2,7.2,97,TOS,0.36
Timothy,Human,2,7.26,96,"TOS, TNG",0.36
Anne Jameson,Human,1,6.24,4000,TNG,0.36
Taleen,Nyrian,1,6.84,2000,VOY,0.36
Kirsten Clancy,Human,2,6.94,109,PIC,0.36
Molina,Human,1,6.84,2000,VOY,0.36
Neela,Bajoran,2,7.71,69,DS9,0.36
Shira,Unknown,1,6.28,4000,DIS,0.36
Perrin,Human,2,7.52,81,TNG,0.36
Rislan,Nyrian,1,6.84,2000,VOY,0.36
Riva,Ramatisian,1,6.33,4000,TNG,0.36
Patar,Vulcan,2,7.4,86,DIS,0.36
V'Kir,Vulcan,1,6.28,4000,DIS,0.36
Karnas,Mordanite,1,6.24,4000,TNG,0.36
Elizabeth Torres,Human,1,6.79,2000,VOY,0.36
Pardek,Romulan,2,7.55,78,TNG,0.36
Dean Torres,Human,1,6.79,2000,VOY,0.36
Danik,Suliban,1,6.79,2000,ENT,0.36
First,Kelemane's species,1,6.91,2000,VOY,0.36
Dammar,Nyrian,1,6.84,2000,VOY,0.36
Mark Jameson,Human,1,6.24,4000,TNG,0.36
Viterian,Kobheerian,2,7.77,68,DS9,0.36
Enoch,Unknown,2,7.03,102,PIC,0.36
K'Vada,Klingon,2,7.55,78,TNG,0.36
D. Chang,Human,3,6.5,56,ENT,0.36
Jarlath,Jarlath's species,1,6.84,2000,VOY,0.36
N'Raj,Romulan,1,6.28,4000,DIS,0.36
Bu'kaH,Klingon,1,6.74,2000,ENT,0.36
Carl Torres,Human,1,6.79,2000,VOY,0.36
William Hodges,Human,1,6.33,3000,TNG,0.35
Bruno Salvatore,Human,1,6.33,3000,TNG,0.35
Zero One,Bynar,1,6.1,4000,TNG,0.35
Sutra,Unknown,2,6.98,95,PIC,0.35
Nara,Unknown,1,6.33,3000,TNG,0.35
Jaris,Argelian,1,6.15,4000,TOS,0.35
Quimp,Ferengi,1,6.63,2000,LD,0.35
Quinteros,Human,1,6.1,4000,TNG,0.35
Codex,Unknown,2,6.98,95,PIC,0.35
Kov,Vulcan,1,6.67,2000,ENT,0.35
Moritz Benayoun,Human,2,6.82,107,PIC,0.35
Morla,Argelian,1,6.15,4000,TOS,0.35
Ducane,Human,1,6.62,2000,VOY,0.35
Mortimer Harren,Human,1,6.69,2000,VOY,0.35
K'orin,Klingon,1,6.63,2000,LD,0.35
Ezral,Kantare,1,6.64,2000,ENT,0.35
Maddy Calloway,Human,1,6.33,3000,TNG,0.35
Mannus,Human,1,6.62,2000,VOY,0.35
Voval,Iyaaran,1,6.36,3000,TNG,0.35
D'Marr,Unknown,1,6.64,2000,ENT,0.35
Corell,Human,1,6.33,3000,TNG,0.35
Aron,Human,1,6.13,4000,TNG,0.35
Carter,Human,2,6.93,93,"SNW, TOS",0.35
Anaanda Ziff,Human,1,6.33,3000,TNG,0.35
Mavek,Tilonian,2,7.62,64,"TNG, DS9",0.35
Maya,Kantare,1,6.64,2000,ENT,0.35
Tark,Argelian,1,6.15,4000,TOS,0.35
Tavin,Vulcan,1,6.67,2000,ENT,0.35
One One,Bynar,1,6.1,4000,TNG,0.35
Obrist,Krenim,2,7.97,56,VOY,0.35
One Zero,Bynar,1,6.1,4000,TNG,0.35
Shankar,Human,2,6.91,106,SNW,0.35
Otrin,Otrin's species,1,6.65,2000,VOY,0.35
Patterson,Human,1,6.62,2000,VOY,0.35
Saavdra,Nakan,1,6.58,2000,VOY,0.35
Saga,Unknown,2,6.98,95,PIC,0.35
Verin,Otrin's species,1,6.65,2000,VOY,0.35
Hengist,Rigel IV native,1,6.15,4000,TOS,0.35
Hennesey,Human,1,6.13,4000,TNG,0.35
Rune,Unknown,2,6.98,95,PIC,0.35
Daniel Kwan,Napean,1,6.33,3000,TNG,0.35
Marla E. Finn,Human,1,6.33,3000,TNG,0.35
Bathar,Unknown,1,6.58,2000,VOY,0.35
Walter Pierce,Human,1,6.33,3000,TNG,0.35
William Telfer,Human,1,6.69,2000,VOY,0.35
Gibson,Human,1,6.13,4000,TNG,0.35
Sybo,Argelian,1,6.15,4000,TOS,0.35
Benny Russell,Human,2,7.66,65,DS9,0.35
Mister Hospitality,Unknown,2,6.91,99,PIC,0.35
Zero Zero,Bynar,1,6.1,4000,TNG,0.35
Kuulan,Kantare,1,6.64,2000,ENT,0.35
Yun,Otrin's species,1,6.65,2000,VOY,0.35
Albert Einstein,Human,2,7.35,73,TNG,0.35
Wheeler,Human,2,7.35,79,"SNW, DS9",0.35
Shilat,Kantare,1,6.64,2000,ENT,0.35
Tolaris,Vulcan,1,6.67,2000,ENT,0.35
Victoria Nuzé,Human,1,7.28,972,LD,0.35
Minuet,Human,1,6.1,4000,TNG,0.35
Annorax,Krenim,2,7.97,56,VOY,0.35
Kevin Riley,Human,2,6.91,106,TOS,0.35
Lal,Unknown,2,7.23,86,"TOS, TNG",0.35
Arcana,Unknown,2,6.98,95,PIC,0.35
Ikat'ika,Jem'Hadar,2,8.02,52,DS9,0.35
Drake,Human,2,7.42,70,"ENT, DIS",0.35
Rulat,Kazon,1,6.59,2000,VOY,0.35
Eliot Ness,Human,1,6.58,2000,VOY,0.35
B'Nir,Ornaran,1,7.28,972,LD,0.35
Hendricks,Human,1,6.65,2000,VOY,0.35
Lois R. Eckridge,Human,1,6.33,3000,TNG,0.35
Liana,Kantare,1,6.64,2000,ENT,0.35
Loquel,Iyaaran,1,6.36,3000,TNG,0.35
José I. Mendez,Human,2,6.96,96,TOS,0.35
Salia,Allasomorph,1,6.13,4000,TNG,0.35
Redjac,Unknown,1,6.15,4000,TOS,0.35
Byleth,Iyaaran,1,6.36,3000,TNG,0.35
Anna,Unknown,1,6.36,3000,TNG,0.35
Andrews,Human,1,6.59,2000,VOY,0.35
Yral,Skagaran,1,6.51,2000,ENT,0.34
J. Kelly,Human,1,6.41,2000,ENT,0.34
Nash,Human,1,6.51,2000,ENT,0.34
William Claiborne,Human,1,5.94,4000,TOS,0.34
Zabel,Human,1,6.41,2000,ENT,0.34
Wyatt Earp,Human,1,5.94,4000,TOS,0.34
Taliyah,Skagaran,1,6.51,2000,ENT,0.34
Billy Clanton,Human,1,5.94,4000,TOS,0.34
Isaac Newton,Human,2,7.55,61,"VOY, TNG",0.34
Ike Clanton,Human,1,5.94,4000,TOS,0.34
Vatm,Nezu,1,6.4,2000,VOY,0.34
Jero,Kelis' species,1,6.47,2000,VOY,0.34
Morgan Earp,Human,1,5.94,4000,TOS,0.34
Goth,Etanian,1,6.4,2000,VOY,0.34
Q'ell,Tessic's species,1,6.38,2000,ENT,0.34
Maklii,Tessic's species,1,6.38,2000,ENT,0.34
Malin,Mari,1,6.46,2000,VOY,0.34
Draysik,Skagaran,1,6.51,2000,ENT,0.34
Tom McLowery,Human,1,5.94,4000,TOS,0.34
E'Lis,Tessic's species,1,6.38,2000,ENT,0.34
Virgil Earp,Human,1,5.94,4000,TOS,0.34
Sklar,Nezu,1,6.4,2000,VOY,0.34
Layna,Kelis' species,1,6.47,2000,VOY,0.34
Frank McLowery,Human,1,5.94,4000,TOS,0.34
Brax,Talaxian,2,7.14,75,"VOY, SNW",0.34
Rose,Human,2,6.81,88,"DIS, TNG",0.34
Solok,Vulcan,2,7.27,67,"TNG, DS9",0.34
Bethany,Skagaran,1,6.51,2000,ENT,0.34
Talli,Mari,1,6.46,2000,VOY,0.34
Lillias,Nezu,1,6.4,2000,VOY,0.34
Terril,Mari,1,6.46,2000,VOY,0.34
Kelis,Kelis' species,1,6.47,2000,VOY,0.34
Frane,Mari,1,6.46,2000,VOY,0.34
Crosis,Borg,2,7.26,69,TNG,0.34
MacDonald,Human,1,7.96,448,PRO,0.34
Marayna,Unknown,1,6.51,2000,VOY,0.34
MacReady,Human,1,6.51,2000,ENT,0.34
Hanjuan,Nezu,1,6.4,2000,VOY,0.34
Bennings,Human,1,6.51,2000,ENT,0.34
Tau,Tau's species,1,6.49,2000,VOY,0.34
Tembit,Mari,1,6.46,2000,VOY,0.34
Nimira,Mari,1,6.46,2000,VOY,0.34
Stephen,Human,2,7.02,79,DIS,0.34
Helena Rozhenko,Human,2,6.98,81,TNG,0.34
Tessic,Tessic's species,1,6.38,2000,ENT,0.34
Guill,Mari,1,6.46,2000,VOY,0.34
Moody,Human,2,6.59,91,TOS,0.33
Moxy,Moxy's species,1,6.92,1000,LD,0.33
Gordon,Human,2,7.35,61,"DS9, TNG",0.33
Ravis,Unknown,1,6.35,2000,ENT,0.33
Kaitaama,Kriosian,1,6.22,2000,ENT,0.33
Henry Starling,Human,2,7.49,52,VOY,0.33
Chu'lak,Vulcan,1,6.32,2000,DS9,0.33
Goff,Retellian,1,6.22,2000,ENT,0.33
Giusti,Human,2,7.2,67,TNG,0.33
Ginger,Human,2,7.56,54,DS9,0.33
Kalita,Human,2,7.31,57,"DS9, TNG",0.33
Narik,Boslic,2,7.2,67,TNG,0.33
Rain Robinson,Human,2,7.49,52,VOY,0.33
Hector Ilario,Human,1,6.32,2000,DS9,0.33
Matthew,Human,2,6.69,84,TNG,0.33
Arctus Baran,Unknown,2,7.2,67,TNG,0.33
Vanderweg,Unknown,1,6.32,2000,DS9,0.33
Vekor,Unknown,2,7.2,67,TNG,0.33
Rooney,Human,2,7.5,53,"ENT, DS9",0.33
Thadial Bokar,Farian,1,6.18,2000,DS9,0.33
Kell,Cardassian,2,7.2,61,"DS9, TNG",0.33
Fuchida,Fuchida's species,1,6.18,2000,DS9,0.33
Tallera,Unknown,2,7.2,67,TNG,0.33
H. Dunbar,Human,2,7.49,52,VOY,0.33
Keevan,Vorta,2,7.59,52,DS9,0.33
Damrus,Eska,1,6.31,2000,ENT,0.33
Meredith,Human,1,6.92,1000,LD,0.33
Herbert,Human,2,6.72,84,TNG,0.33
Dee'Ahn,Dee'Ahn's species,1,6.35,2000,ENT,0.33
Norvo Tigan,Trill,1,6.18,2000,DS9,0.33
Reese,Human,2,7.64,52,DS9,0.33
Idrin,Hirogen,2,7.61,50,VOY,0.33
Keyla,Tandaran,1,6.35,2000,ENT,0.33
Toz,Edosian,1,6.92,1000,LD,0.33
Larg,Klingon,2,7.28,60,"VOY, TNG",0.33
Corelki,Human,2,7.15,68,TNG,0.33
Plinn,Retellian,1,6.22,2000,ENT,0.33
Burzaan,Eska,1,6.31,2000,ENT,0.33
Rhylo,Unknown,1,6.35,2000,ENT,0.33
Minooki,Unknown,1,6.92,1000,LD,0.33
T'Rul,Romulan,2,7.64,52,DS9,0.33
Zim Brott,Bolian,1,6.32,2000,DS9,0.33
Janel Tigan,Trill,1,6.18,2000,DS9,0.33
Greta Vanderweg,Human,1,6.32,2000,DS9,0.33
Shiraht,Eska,1,6.31,2000,ENT,0.33
Abaddon,Abaddon's species,1,6.21,2000,VOY,0.33
Yanas Tigan,Trill,1,6.18,2000,DS9,0.33
Alben,Nasari,1,6.01,2000,VOY,0.32
Jaglom Shrek,Yridian,2,6.96,66,TNG,0.32
Trodo,Unknown,1,7.42,467,PRO,0.32
Collins,Human,2,7.19,56,"ENT, TNG",0.32
Christopher Brynner,Human,2,7.17,54,DS9,0.32
Trij,Klingon,1,7.69,400,PRO,0.32
L'Kor,Klingon,2,6.96,66,TNG,0.32
Gi'ral,Klingon,2,6.96,66,TNG,0.32
Grilka,Klingon,2,7.23,52,DS9,0.32
Senna Tal,Trill,2,6.48,86,DIS,0.32
Ricky,Human,2,7.43,52,VOY,0.32
Sentith,Romulan,2,6.96,66,TNG,0.32
Vin,Human,2,7.17,54,DS9,0.32
Marquez,Human,2,6.82,67,TNG,0.32
Ba'ktor,Klingon,2,6.96,66,TNG,0.32
Biddle Coleridge,Human,2,7.17,54,DS9,0.32
Ba'el,Klingon,2,6.96,66,TNG,0.32
Milo,Human,1,6.08,2000,VOY,0.32
Edith Mulchaey,Human,1,6.08,2000,VOY,0.32
Eliann,Taresian,1,6.01,2000,VOY,0.32
Michael Webb,Human,2,7.17,54,DS9,0.32
Sanders,Human,2,7.2,58,"DS9, TNG",0.32
Stonn,Vulcan,2,6.49,94,"TOS, SNW",0.32
Hovath,Bajoran,2,7.14,55,DS9,0.32
Caretaker,Nacene,2,6.8,67,VOY,0.32
Ezri Tigan,Trill,1,6.16,2000,DS9,0.32
Malia,Taresian,1,6.01,2000,VOY,0.32
Pel,Romulan,2,6.67,81,"DS9, PIC",0.32
Danny Webb,Human,2,7.17,54,DS9,0.32
Rinna,Taresian,1,6.01,2000,VOY,0.32
Chekote,Human,2,7.08,60,"TNG, DS9",0.32
Tenavik,Klingon,2,6.7,79,DIS,0.32
Lyris,Taresian,1,6.01,2000,VOY,0.32
Taymon,Unknown,1,6.01,2000,VOY,0.32
Bernardo Calvera,Human,2,7.17,54,DS9,0.32
Danny,Human,1,6.08,2000,VOY,0.32
Tumek,Klingon,2,7.23,52,DS9,0.32
Gabi,Human,2,6.49,84,PIC,0.32
Turla,Klingon,2,6.96,66,TNG,0.32
Grjördslat,Unknown,1,7.42,467,PRO,0.32
Thomas Riker,Human,2,7.18,58,"DS9, TNG",0.32
Glidia,Unknown,2,7.11,49,DS9,0.31
Xerius,Romulan,1,6.53,857,TAS,0.31
Krell,Klingon,2,6.92,56,"TOS, ENT",0.31
Koral,Klingon,2,6.96,54,"TNG, DS9",0.31
Krim,Bajoran,2,7.11,52,DS9,0.31
Deela,Scalosian,2,6.8,61,"DS9, TOS",0.31
Niles,Human,2,7.19,49,DS9,0.31
Sakonna,Vulcan,2,7.19,49,DS9,0.31
Magen,Unknown,1,6.53,857,TAS,0.31
Karla Five,Arret native,1,6.65,798,TAS,0.31
O'Donnell,Human,2,7.4,44,VOY,0.31
Carter Winston,Human,1,6.5,944,TAS,0.31
Sandríne,Human,2,7.08,51,VOY,0.31
Sarah April,Human,1,6.65,798,TAS,0.31
Calvin Hudson,Human,2,7.19,49,DS9,0.31
Wendy,Human,2,7.94,33,LD,0.31
Johnson,Human,2,6.51,78,"TOS, PIC",0.31
Dern,Human,2,6.8,67,TNG,0.31
Amaros,Human,2,7.19,49,DS9,0.31
Devna,Orion,1,6.53,857,TAS,0.31
Lisa,Human,2,6.98,59,"DS9, TOS",0.31
Pete Harkins,Human,2,7.36,45,VOY,0.31
Kaz,Klingon,1,6.53,857,TAS,0.31
Flotter,Unknown,2,6.68,69,"VOY, PIC",0.31
Tholos,Andorian,2,7.26,45,ENT,0.31
Chuft-Captain,Kzinti,1,6.63,888,TAS,0.31
Karl Four,Arret native,1,6.65,798,TAS,0.31
M. Forbes,Human,2,7.81,37,ENT,0.31
Gia,Barkonian,2,6.98,57,"DS9, TNG",0.31
Anne Nored,Human,1,6.5,944,TAS,0.31
Kzinti Telepath,Kzinti,1,6.63,888,TAS,0.31
Kuri,Klingon,1,6.53,857,TAS,0.31
Kirayoshi O'Brien,Human,2,7.12,52,DS9,0.31
Kzinti Flyer,Kzinti,1,6.63,888,TAS,0.31
Shipley,Human,2,6.63,73,TNG,0.31
Kobb,Human,2,7.19,49,DS9,0.31
Kali,Klingon,1,6.53,857,TAS,0.31
Dred 2,Unknown,1,7.14,444,PRO,0.3
Huur'A,Enderprizian,1,7.21,385,PRO,0.3
Benteen,Human,2,7.14,47,DS9,0.3
Vrax,Romulan,2,7.62,36,ENT,0.3
Jenkins,Human,2,7.19,42,VOY,0.3
T'Les,Vulcan,2,7.26,43,ENT,0.3
Surak,Vulcan,2,6.87,52,"ENT, TOS",0.3
Naarg,Tellarite,2,7.67,36,ENT,0.3
Villus Thed,Unknown,2,6.93,50,DS9,0.3
Demos,Dramen,1,6.54,792,TAS,0.3
Carver,Human,1,6.31,1000,TAS,0.3
Mr. Murfy No Shoes,Unknown,1,7.36,377,PRO,0.3
Taggert,Human,2,6.28,72,TNG,0.3
Tom Markel,Human,1,6.48,811,TAS,0.3
Kuvak,Vulcan,2,7.52,37,ENT,0.3
